12         STGLEN    MQ_USER_ID_LENGTH
13         MQCHS     MQCHS_INITIALIZING
13         MQCMD     MQCMD_INQUIRE_Q
13         MQIA      MQIA_MAX_MSG_LENGTH
13         MQPL      MQPL_NSK
14         MQIA      MQIA_MAX_PRIORITY
15         MQIA      MQIA_MAX_Q_DEPTH
16         MQIA      MQIA_MSG_DELIVERY_SEQUENCE
16         STGLEN    MQ_EXIT_USER_AREA_LENGTH
16         STGLEN    MQ_LUWID_LENGTH
16         STGLEN    MQ_MSG_TOKEN_LENGTH
16         STGLEN    MQ_TRAN_INSTANCE_ID_LENGTH
17         MQCMD     MQCMD_RESET_Q_STATS
17         MQIA      MQIA_OPEN_INPUT_COUNT
18         MQCMD     MQCMD_INQUIRE_Q_NAMES
18         MQIA      MQIA_OPEN_OUTPUT_COUNT
19         MQCMD     MQCMD_INQUIRE_PROCESS_NAMES
19         MQIA      MQIA_NAME_COUNT
20         MQCMD     MQCMD_INQUIRE_CHANNEL_NAMES
20         MQIA      MQIA_Q_TYPE
20         STGLEN    MQ_CHANNEL_NAME_LENGTH
20         STGLEN    MQ_EXIT_NAME_LENGTH
20         STGLEN    MQ_MCA_NAME_LENGTH
20         STGLEN    MQ_SHORT_CONN_NAME_LENGTH
21         MQCMD     MQCMD_CHANGE_CHANNEL
21         MQIA      MQIA_RETENTION_INTERVAL
22         MQCMD     MQCMD_COPY_CHANNEL
22         MQIA      MQIA_BACKOUT_THRESHOLD
23         MQCMD     MQCMD_CREATE_CHANNEL
23         MQIA      MQIA_SHAREABILITY
24         MQCMD     MQCMD_DELETE_CHANNEL
24         MQIA      MQIA_TRIGGER_CONTROL
24         STGLEN    MQ_BRIDGE_NAME_LENGTH
24         STGLEN    MQ_CORREL_ID_LENGTH
24         STGLEN    MQ_GROUP_ID_LENGTH
24         STGLEN    MQ_MSG_ID_LENGTH
24         STGLEN    MQ_OBJECT_INSTANCE_ID_LENGTH
25         MQCMD     MQCMD_INQUIRE_CHANNEL
25         MQIA      MQIA_TRIGGER_INTERVAL
26         MQCMD     MQCMD_PING_CHANNEL
26         MQIA      MQIA_TRIGGER_MSG_PRIORITY
27         MQCMD     MQCMD_RESET_CHANNEL
28         MQCMD     MQCMD_START_CHANNEL
28         MQIA      MQIA_TRIGGER_TYPE
28         STGLEN    MQ_APPL_NAME_LENGTH
28         STGLEN    MQ_MCA_JOB_NAME_LENGTH
28         STGLEN    MQ_PUT_APPL_NAME_LENGTH
29         MQCMD     MQCMD_STOP_CHANNEL
29         MQIA      MQIA_TRIGGER_DEPTH
30         MQCMD     MQCMD_START_CHANNEL_INIT
30         MQIA      MQIA_SYNCPOINT
31         MQCMD     MQCMD_START_CHANNEL_LISTENER
31         MQIA      MQIA_COMMAND_LEVEL
32         MQCMD     MQCMD_CHANGE_NAMELIST
32         MQIA      MQIA_PLATFORM
32         STGLEN    MQ_ACCOUNTING_TOKEN_LENGTH
32         STGLEN    MQ_APPL_IDENTITY_DATA_LENGTH
32         STGLEN    MQ_EXIT_DATA_LENGTH
32         STGLEN    MQ_SERVICE_NAME_LENGTH
33         MQCMD     MQCMD_COPY_NAMELIST
33         MQIA      MQIA_MAX_UNCOMMITTED_MSGS
34         MQCMD     MQCMD_CREATE_NAMELIST
34         MQIA      MQIA_DIST_LISTS
35         MQCMD     MQCMD_DELETE_NAMELIST
35         MQIA      MQIA_TIME_SINCE_RESET
36         MQCMD     MQCMD_INQUIRE_NAMELIST
36         MQIA      MQIA_HIGH_Q_DEPTH
37         MQCMD     MQCMD_INQUIRE_NAMELIST_NAMES
37         MQIA      MQIA_MSG_ENQ_COUNT
38         MQCMD     MQCMD_ESCAPE
38         MQIA      MQIA_MSG_DEQ_COUNT
39         MQCMD     MQCMD_RESOLVE_CHANNEL
40         MQCMD     MQCMD_PING_Q_MGR
40         MQIA      MQIA_Q_DEPTH_HIGH_LIMIT
40         STGLEN    MQ_SECURITY_ID_LENGTH
41         MQIA      MQIA_Q_DEPTH_LOW_LIMIT
42         MQCMD     MQCMD_INQUIRE_CHANNEL_STATUS
42         MQIA      MQIA_Q_DEPTH_MAX_EVENT
43         MQIA      MQIA_Q_DEPTH_HIGH_EVENT
44         MQCMD     MQCMD_Q_MGR_EVENT
44         MQIA      MQIA_Q_DEPTH_LOW_EVENT
45         MQCMD     MQCMD_PERFM_EVENT
45         MQIA      MQIA_SCOPE
46         MQCMD     MQCMD_CHANNEL_EVENT
46         MQIA      MQIA_Q_SERVICE_INTERVAL_EVENT
47         MQIA      MQIA_AUTHORITY_EVENT
48         MQIA      MQIA_INHIBIT_EVENT
48         STGLEN    MQ_CLUSTER_NAME_LENGTH
